,lat,long,bikes_available,bikes_in_use,total_bikes
68,52.48999,13.429107,2,3,5
69,52.486772,13.42872,7,3,10
70,52.476736,13.418464,4,1,5
71,52.477742,13.428787,1,4,5
72,52.486957,13.447256,7,3,10
73,52.492601,13.430375,2,3,5
74,52.489755,13.433902,2,2,4
75,52.470946,13.448026,8,6,14
76,52.47755,13.448826,2,5,7
77,52.480588,13.442753,1,9,10
78,52.476789,13.426652,0,4,4
79,52.536231,13.432285,3,7,10
80,52.51364,13.519987,1,7,8
81,52.498994,13.480353,4,6,10
82,52.53278,13.47582,8,2,10
83,52.515203,13.462885,3,6,9
84,52.495018,13.438551,5,5,10
85,52.500167,13.44111,1,3,4
86,52.492584,13.433613,6,1,7
87,52.521557,13.447131,5,0,5
88,52.51255,13.466978,2,3,5
89,52.50759,13.465178,4,1,5
90,52.513164,13.434378,2,3,5
91,52.502038,13.425198,5,2,7
92,52.499785,13.433427,8,2,10
93,52.468821,13.467191,4,6,10
94,52.502942,13.344145,1,4,5
95,52.496406,13.358936,3,6,9
96,52.493897,13.461143,0,5,5
97,52.496215,13.399009,0,10,10
98,52.50362,13.49491,6,4,10
99,52.51516,13.50469,0,4,4
100,52.525368,13.467222,3,2,5
101,52.489031,13.451193,0,5,5
102,52.490201,13.445106,14,0,16
103,52.49668,13.52377,4,6,10
104,52.507014,13.352255,9,5,14
105,52.515181,13.432277,4,1,5
106,52.501032,13.459153,1,4,5
107,52.552933,13.357457,4,1,5
108,52.527165,13.354847,4,4,8
109,52.550109,13.378204,6,4,10
110,52.625647,13.501705,6,4,10
