,name,distance_meters,category,rating,lat,long,origin
0,Annhi,78.51231942269412,Thai,3.0,52.4706383,13.4417295,"52.469951,13.441477"
0,Hakiki,70.77338265914993,Kebab,3.5,52.4694,13.442,"52.469951,13.441477"
0,McDonald's,62.02007622823364,Burgers,1.5,52.46962049,13.44221453,"52.469951,13.441477"
0,Has Bäckerei,89.74129100712135,Bakeries,4.5,52.47398,13.45425,"52.474241,13.455552"
0,Kebab Haus,72.65269026318262,Kebab,4.0,52.4736040931581,13.45579136163,"52.474241,13.455552"
0,Snakcafe,35.04536168643391,Bakeries,3.5,52.4739857736315,13.4552484287657,"52.474241,13.455552"
0,Cafe Miami,49.14456202400661,Pubs,5.0,52.4738,13.4556,"52.474241,13.455552"
0,BBI Berlinburger International,84.64068073263489,Burgers,4.5,52.48652,13.43096,"52.487263,13.431263"
0,Croissanterie Cocina,31.49067983454691,French,4.5,52.4870602412594,13.4309383061782,"52.487263,13.431263"
0,Two And Two,63.00708541880045,Cafes,4.5,52.4867128,13.4310405,"52.487263,13.431263"
0,Kuschlowski,73.32606505411702,Bars,4.0,52.48773,13.43111,"52.487263,13.431263"
0,Sadhu 2,41.306882041641735,Indian,4.0,52.4876205087803,13.4314287448788,"52.487263,13.431263"
0,Mais,47.84203870650855,Pan Asian,5.0,52.4876701594035,13.4310346206543,"52.487263,13.431263"
0,Schwabylon,26.219264499813704,Swabian,4.5,52.48706,13.43148,"52.487263,13.431263"
0,Arethussa,17.97681638583384,Greek,3.5,52.4871329841304,13.4311052039664,"52.487263,13.431263"
0,SilverFuture,110.60221695661181,Dive Bars,3.5,52.48805,13.43019,"52.487263,13.431263"
0,ShakePoint Ali,63.568139596013246,Creperies,4.5,52.4867,13.4311,"52.487263,13.431263"
0,Farmhouse,56.142853159246144,Pan Asian,4.5,52.4877203591221,13.4316142648458,"52.487263,13.431263"
0,Tristeza,84.64068073263489,Dive Bars,3.5,52.48652,13.43096,"52.487263,13.431263"
0,Men Men,17.558645737460072,Ramen,3.5,52.487306,13.431027,"52.487263,13.431263"
0,Thelonious Bar,73.32606505411702,Bars,4.5,52.48773,13.43111,"52.487263,13.431263"
